Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
2017-04-18 00:00:00,25.6,32,28.4,86,7,7.4,4,360,3,N 
2017-04-19 00:00:00,26.2,31.6,27.9,83,0,3.1,5,360,2,N 
2017-04-20 00:00:00,24.4,33.2,28.7,79,0,7.8,6,315,3,NW
2017-04-21 00:00:00,25.8,32.8,28.9,78,16,5.7,7,90,3,SW
2017-04-22 00:00:00,25,32.6,28.8,80,3,7.4,4,315,3,NW
2017-04-23 00:00:00,25,31.8,28,84,0,4.9,3,360,2,N 
2017-04-24 00:00:00,25.2,32.2,28.4,80,0,6,4,360,2,N 
2017-04-25 00:00:00,26.2,32.8,29.5,78,0,8,6,360,3,N 
2017-04-26 00:00:00,26.2,32.2,28.7,80,0,5.4,5,315,2,NW
2017-04-27 00:00:00,25.6,32,28.3,81,0,6.5,5,315,3,NE
2017-04-28 00:00:00,23.6,32.2,28,80,0,7.4,5,315,0,NW
2017-04-29 00:00:00,25.4,33,27.9,82,0,6.9,6,45,0,NE
2017-04-30 00:00:00,25,32.4,28.1,79,7,7.2,5,90,3,E 
2017-05-01 00:00:00,24.2,33.2,28.5,70,9,4.6,3,90,3,E 
2017-05-02 00:00:00,24.2,33,28.7,82,15,5,4,360,2,NW
2017-05-03 00:00:00,26.2,32,28,83,28,3.3,6,360,3,NW
2017-05-04 00:00:00,24,33,28.3,82,41,5.6,7,45,3,NE
2017-05-05 00:00:00,24.6,33.2,28,82,4,6,3,45,2,NE
2017-05-06 00:00:00,25.4,32.6,28.9,79,6,3.5,6,90,3,NE
2017-05-07 00:00:00,25.4,31.4,27.5,84,4.5,2.6,3,360,24,N 
2017-05-08 00:00:00,26,32.6,28.4,81,3,4.3,4,135,3,SE
2017-05-09 00:00:00,26,33.4,29.8,72,1.5,7.4,7,90,4,E 
2017-05-10 00:00:00,25.4,33.2,29.4,71,0,5.2,4,90,3,SE
2017-05-11 00:00:00,25.4,33.4,28.6,74,0,7.2,4,90,3,SE
2017-05-12 00:00:00,26.2,34.4,29.5,76,0,7.1,7,45,3,NE
2017-05-13 00:00:00,25,34.4,29.5,74,4,7.3,6,135,2,S 
2017-05-14 00:00:00,24.4,32.2,28.4,76,0,7.8,4,45,2,NW
2017-05-15 00:00:00,24,34.8,30.4,62,0,7.9,5,90,3,E 
2017-05-16 00:00:00,24,34,28.4,80,0,7.3,4,90,3,E 
2017-05-17 00:00:00,25.2,32.6,29,76,10,8,3,315,2,N 
2017-05-18 00:00:00,24.8,34.2,29.5,72,0,7.8,5,100,2,E 
2017-05-19 00:00:00,24.4,33.6,28.7,72,0,8,5,360,2,N 
2017-05-20 00:00:00,23.2,34,28.9,78,0,6,5,135,2,SE
2017-05-21 00:00:00,25.4,34.2,29.2,72,0,6.7,3,60,2,N 
2017-05-22 00:00:00,24.8,34.8,29.2,76,0,7.8,4,110,2,N 
2017-05-23 00:00:00,25,34.2,29.3,69,0,8,5,10,2,N 
2017-05-24 00:00:00,24,33.4,28.4,68,0,8,6,90,3,E 
2017-05-25 00:00:00,23.4,35,29.3,62,0,8,4,90,3,E 
2017-05-26 00:00:00,24,33.4,28.9,80,0,5.7,4,270,3,W 
2017-05-27 00:00:00,25,33.4,29.1,77,13,4.5,5,90,4,SE
2017-05-28 00:00:00,26.4,33,29,80,0,3.8,5,45,0,NE
2017-05-29 00:00:00,25.6,31,27.8,80,0,0,4,135,0,SE
2017-05-30 00:00:00,26,33.2,29.3,76,0,5.7,6,90,0,E 
2017-05-31 00:00:00,27.4,33.2,30.1,72,0,5.3,7,135,0,SE
2017-06-01 00:00:00,26.2,31.6,27,86,0,4.6,4,360,2,N 
2017-06-02 00:00:00,25,31.4,26.5,89,50,5.2,3,360,2,N 
2017-06-03 00:00:00,23.8,32.6,27.9,82,38,7.1,4,360,2,NW
2017-06-04 00:00:00,24.2,33.2,28.4,74,0,8.7,4,90,1,C 
2017-06-05 00:00:00,25,33.4,28.2,77,0,7.8,4,45,3,NE
2017-06-06 00:00:00,26.4,33.2,29,74,0,8,6,135,3,SE
2017-06-07 00:00:00,26.4,31.6,29,79,0,5.2,4,90,4,SE
2017-06-08 00:00:00,27,33.8,29.7,74,0,7.8,7,135,4,SE
2017-06-09 00:00:00,27,33.6,29.3,72,0,7.5,5,90,3,E 
2017-06-10 00:00:00,25.8,33.6,29.3,72,0,7.1,5,90,3,E 
2017-06-11 00:00:00,25,33.4,27.9,78,0,7.8,6,90,2,E 
2017-06-12 00:00:00,26.4,33.2,29,76,0,5.8,6,315,3,NW
2017-06-13 00:00:00,23.6,31.2,26.8,83,41,0.4,3,135,3,SE
2017-06-14 00:00:00,25.4,33.2,27.7,84,0,6.9,6,45,4,NE
2017-06-15 00:00:00,26,32.4,28.9,79,21,5.9,6,135,4,SE
2017-06-16 00:00:00,27.2,33.4,29.6,77,0,7.7,5,315,3,E 
2017-06-17 00:00:00,25.8,33,29.1,72,1,8,6,45,4,NE
2017-06-18 00:00:00,22.8,32.8,26.2,74,0,6.4,4,135,3,SE
2017-06-19 00:00:00,23.4,32.8,27,74,0,7.1,4,315,3,NW
2017-06-20 00:00:00,24.8,32.8,27.9,75,0,5.8,4,315,2,NW
2017-06-21 00:00:00,25.2,33,28,78,0,4.1,4,135,2,SE
2017-06-22 00:00:00,25.2,32.4,28.6,79,0,5.6,6,135,2,E 
2017-06-23 00:00:00,27,32.8,29.3,74,0,6,7,90,39,SE
2017-06-24 00:00:00,26.6,30.8,27.7,76,0,3,9,90,2,E 
2017-06-25 00:00:00,25,31.4,27.8,79,2,4.9,3,360,3,N 
2017-06-26 00:00:00,24.8,31.4,28.5,79,1,4.6,5,360,2,N 
2017-06-27 00:00:00,24.6,32.8,28,78,0,7.2,4,360,4,N 
2017-06-28 00:00:00,23.8,32.4,27.9,82,26,6.4,4,90,0,E 
2017-06-29 00:00:00,26.2,32.4,28.3,82,1,6.6,5,315,0,NW
2017-06-30 00:00:00,24.8,33.4,28.3,76,0,7.9,5,135,0,SE
2017-07-01 00:00:00,25.2,33,28.5,78,0,7.6,5,315,4,E 
2017-07-02 00:00:00,27,33,29.5,73,0,6.1,5,135,3,SE
2017-07-03 00:00:00,25.6,33.2,28.3,78,0,7.3,7,90,2,SE
2017-07-04 00:00:00,25.6,33,29,74,0,6.3,5,90,3,E 
2017-07-05 00:00:00,24.9,33.5,28.65,74.5,0,6.95,4,90,3,
2017-07-06 00:00:00,24.2,34,28.3,75,0,7.6,3,90,3,E 
2017-07-07 00:00:00,24.4,34.2,28.2,76,0,5.4,4,360,3,SE
2017-07-08 00:00:00,24.8,33.4,28.4,77,0,5.3,3,315,2,NW
2017-07-09 00:00:00,25.2,33.4,28.8,77,0,6.6,4,315,2,NW
2017-07-10 00:00:00,24.4,32,27.8,79,0,6.5,5,360,2,N 
2017-07-11 00:00:00,23.6,32.8,28.4,75,0,4.6,4,360,2,N 
2017-07-12 00:00:00,23.1333333333333,32.6,28.4333333333333,74,0,3.36666666666667,4.66666666666667,285,2,
2017-07-13 00:00:00,22.6666666666667,32.4,28.4666666666667,73,0,2.13333333333333,5.33333333333333,210,2,
2017-07-14 00:00:00,22.2,32.2,28.5,72,0,0.9,6,135,2,SE
2017-07-15 00:00:00,23.6,33.8,28.6,70,0,7.8,7,45,4,NE
2017-07-16 00:00:00,23.8,33.4,27.5,77,0,7.6,4,90,3,E 
2017-07-17 00:00:00,21,31.2,26.8,73,0,0.7,3,135,2,SE
2017-07-18 00:00:00,25,33,28.3,66,0,5.7,7,135,5,SE
2017-07-19 00:00:00,24.9,32.9,27.55,74,0.5,5.3,5,112.5,3.5,
2017-07-20 00:00:00,24.8,32.8,26.8,82,1,4.9,3,90,2,SE
2017-07-21 00:00:00,23.8,32.2,27.6,77,2,5.1,6,90,3,SE
2017-07-22 00:00:00,23.2,33.2,28.4,76,24,6.3,4,90,3,SE
2017-07-23 00:00:00,24.4,33.6,28,82,0,8,4,135,3,SE
2017-07-24 00:00:00,23.8,33.6,28.2,68,0,8,6,135,3,SE
2017-07-25 00:00:00,21.6,32.8,27.2,64,0,8,9,135,4,SE
2017-07-26 00:00:00,22.4,33.8,27.9,63,0,7.8,6,135,3,SE
2017-07-27 00:00:00,25.8,29.6,26.5,83,0,10,6,100,2,E 
2017-07-28 00:00:00,24.4,32,28.2,75,4,4.1,5,90,2,SW
2017-07-29 00:00:00,24.7,33.4,28.7,73.5,2,6,4.5,90,2.5,
2017-07-30 00:00:00,25,34.8,29.2,72,0,7.9,4,90,3,E 
2017-07-31 00:00:00,24,33.4,28.3,75,31,8,4,315,3,NW
2017-08-01 00:00:00,23.4,33.6,27.9,68,0,8,69,1,4,SE
2017-08-02 00:00:00,22.6,33.8,28.4,66,0,7.4,69,0,2,SE
2017-08-03 00:00:00,23.2,32.8,26.8,78,0,6.5,139,0,3,W 
2017-08-04 00:00:00,23,33.4,27.9,71,0,7.4,46,0,3,E 
2017-08-05 00:00:00,23.2,33.2,26.3,80,0,5.8,185,1,2,NW
2017-08-06 00:00:00,23.4,34,28.6,67,0,8,185,0,3,NW
2017-08-07 00:00:00,23.8,34,27.8,74,0,8,185,1,4,NW
2017-08-08 00:00:00,26,33,28.9,76,0,6.9,162,0,2,NW
2017-08-09 00:00:00,25.6,34.2,28.5,73,0,3.9,162,0,2,NW
2017-08-10 00:00:00,24.2,34.2,28.2,74,0,7.1,139,0,3,W 
2017-08-11 00:00:00,24.8,33.6,28.2,75,0,8,185,0,3,N 
2017-08-12 00:00:00,24.4,32.4,26.3,83,0,7.5,162,0,0,NW
2017-08-13 00:00:00,24.2,33.4,27.1,80,0,7,23,0,2,NE
2017-08-14 00:00:00,23.4,32.6,27.7,79,0,6.9,185,0,6,N 
2017-08-15 00:00:00,23.2,34,28.1,68,0,6.5,69,0,3,SE
2017-08-16 00:00:00,23,33.6,27.5,70,0,7.3,162,0,3,NW
2017-08-17 00:00:00,23,33.8,27.5,72,0,7.3,162,0,3,NW
2017-08-18 00:00:00,24.6,34,29,65,0,7,46,1,4,E 
2017-08-19 00:00:00,25.8,34.8,29,72,0,5.7,46,1,3,N 
2017-08-20 00:00:00,25,34.6,27.3,80,0,8,69,0,2,SE
2017-08-21 00:00:00,23.6,34.8,28.9,67,0,8,46,0,3,E 
2017-08-22 00:00:00,23.2,35.2,28.6,70,0,8,46,0,4,E 
2017-08-23 00:00:00,24,34.2,28.3,73,0,8,46,1,3,E 
2017-08-24 00:00:00,24.8,34.6,28.8,71,0,7.8,162,1,4,SE
2017-08-25 00:00:00,24.4,34.6,28.5,70,0,8,69,1,4,SE
2017-08-26 00:00:00,24.2,34,29.1,56,0,6.7,46,1,3,E 
2017-08-27 00:00:00,23.2,34.6,28.5,69,0,8,23,1,6,NE
2017-08-28 00:00:00,23.2,34.8,29.9,61,0,8,46,5,0,E 
2017-08-29 00:00:00,24.4,33.2,28,72,0,4.5,139,0,3,N 
2017-08-30 00:00:00,24.8,31.6,28,74,15,7.3,185,0,3,N 
2017-08-31 00:00:00,24.8,33.4,27.4,76,0,7.1,69,0,3,SE
2017-09-01 00:00:00,23,35,28.2,68,0,8,4,135,3,SE
2017-09-02 00:00:00,23.6,34,27.9,72,0,8,6,135,3,NW
2017-09-03 00:00:00,23.4,35.4,28.2,68,0,8,5,270,3,E 
2017-09-04 00:00:00,25.2,34,28.6,72,0,7.7,5,315,3,NW
2017-09-05 00:00:00,25.2,34.4,29.1,72,1,7.2,5,90,3,E 
2017-09-06 00:00:00,24.6,34,29.7,61,0,8,6,90,3,E 
2017-09-07 00:00:00,24.2,34.8,30.2,62,0,8,5,135,6,SE
2017-09-08 00:00:00,27,36.6,31.1,57,1,8,8,90,4,SE
2017-09-09 00:00:00,25.4,35.4,29.4,68,0,8,5,90,3,E 
2017-09-10 00:00:00,26.2,33.8,28.9,73,0,6.4,4,360,3,N 
2017-09-11 00:00:00,24.4,33.4,27.5,82,19,7.1,5,360,3,N 
2017-09-12 00:00:00,24.6,33.6,27.6,73,0,6.5,6,90,5,E 
2017-09-13 00:00:00,24,35.4,28.1,75,0,8,4,360,3,N 
2017-09-14 00:00:00,22.6,35.2,28.6,68,0,8,8,360,3,N 
2017-09-15 00:00:00,25,36.4,29.8,64,0,8,5,135,4,SE
2017-09-16 00:00:00,24.8,36,29.4,65,0,8,4,90,4,E 
2017-09-17 00:00:00,25,35.4,29.2,68,27,8,9,45,3,NE
2017-09-18 00:00:00,23.4,33.6,28.4,77,0,8,6,135,2,SE
2017-09-19 00:00:00,24.2,34.8,28.8,66,0,8,5,270,3,E 
2017-09-20 00:00:00,23.8,34.4,28.3,66,0,8,6,270,3,NW
2017-09-21 00:00:00,23.2,35.6,28.4,62,0,8,8,90,3,N 
2017-09-22 00:00:00,24,34.8,28.8,64,0,8,5,90,3,E 
2017-09-23 00:00:00,23.4,36,29.7,67,4,7.5,5,45,3,NE
2017-09-24 00:00:00,26.6,31.6,28.4,61,0,1.8,4,360,3,N 
2017-09-25 00:00:00,25,33.8,28.8,76,2,5.2,6,45,4,NE
2017-09-26 00:00:00,25.4,33.8,29.8,68,4,5.1,6,135,4,SE
2017-09-27 00:00:00,27.4,34,28.9,72,0,4.6,9,360,4,N 
2017-09-28 00:00:00,25.2,32.2,29,72,0,5.4,5,360,2,N 
2017-09-29 00:00:00,25.6,35.2,29.7,70,0,7.3,5,90,3,E 
2017-09-30 00:00:00,23,33.2,28.7,79,50,7.5,4,360,4,N 
2017-10-01 00:00:00,22.6,32.6,28.4,80,32,6.2,4,360,3,NW
2017-10-02 00:00:00,22.6,32,27.7,81,79,6.5,4,360,3,N 
2017-10-03 00:00:00,23,34.4,28.3,81,68,7.1,5,315,2,NW
2017-10-04 00:00:00,24.4,34.8,29.2,77,15,7.8,5,90,3,E 
2017-10-05 00:00:00,23.4,34.2,29.8,73,0,8,7,360,3,N 
